Generated On;Active Power (kW);Reactive Power (kVar);Power Factor
"2020-05-19 21:05:00	";0.000;0.000;0.000
"2020-05-19 21:10:00	";0.000;0.000;0.000
"2020-05-19 21:15:00	";0.000;0.000;0.000
"2020-05-19 21:20:00	";0.000;0.000;0.000
"2020-05-19 21:25:00	";0.000;0.000;0.000
"2020-05-19 21:30:00	";0.000;0.000;0.000
"2020-05-19 21:35:00	";0.000;0.000;0.000
"2020-05-19 21:40:00	";0.000;0.000;0.000
"2020-05-19 21:45:00	";0.000;0.000;0.000
"2020-05-19 21:50:00	";0.000;0.000;0.000
"2020-05-19 21:55:00	";0.000;0.000;0.000
"2020-05-19 22:00:00	";0.000;0.000;0.000
"2020-05-19 22:05:00	";0.000;0.000;0.000
"2020-05-19 22:10:00	";0.000;0.000;0.000
"2020-05-19 22:15:00	";0.000;0.000;0.000
"2020-05-19 22:20:00	";0.000;0.000;0.000
"2020-05-19 22:25:00	";0.000;0.000;0.000
"2020-05-19 22:30:00	";0.000;0.000;0.000
"2020-05-19 22:35:00	";0.000;0.000;0.000
"2020-05-19 22:40:00	";0.000;0.000;0.000
"2020-05-19 22:45:00	";0.000;0.000;0.000
"2020-05-19 22:50:00	";0.000;0.000;0.000
"2020-05-19 22:55:00	";0.000;0.000;0.000
"2020-05-19 23:00:00	";0.000;0.000;0.000
"2020-05-19 23:05:00	";0.000;0.000;0.000
"2020-05-19 23:10:00	";0.000;0.000;0.000
"2020-05-19 23:15:00	";0.000;0.000;0.000
"2020-05-19 23:20:00	";0.000;0.000;0.000
"2020-05-19 23:25:00	";0.000;0.000;0.000
"2020-05-19 23:30:00	";0.000;0.000;0.000
"2020-05-19 23:35:00	";0.000;0.000;0.000
"2020-05-19 23:40:00	";0.000;0.000;0.000
"2020-05-19 23:45:00	";0.000;0.000;0.000
"2020-05-19 23:50:00	";0.000;0.000;0.000
"2020-05-19 23:55:00	";0.000;0.000;0.000
